Customer_ID,Age,Gender,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Target_Churn
1,62,Other,45.15,5892.58,5,22,453.8,2,0,3,129,1,Responded,1
2,65,Male,79.51,9025.47,13,77,22.9,2,2,3,227,0,Responded,0
3,18,Male,29.19,618.83,13,71,50.53,5,2,2,283,0,Responded,1
4,21,Other,79.63,9110.3,3,33,411.83,5,3,5,226,1,Ignored,1
5,21,Other,77.66,5390.88,15,43,101.19,3,0,5,242,0,Unsubscribed,0
6,57,Male,190.43,255.19,19,85,417.78,5,1,4,130,0,Unsubscribed,0
7,27,Male,172.13,3512.55,3,77,316.18,0,3,1,61,1,Unsubscribed,0
8,37,Other,88.9,7270.9,4,87,63.61,3,4,3,224,0,Ignored,0
9,39,Other,24.46,4935.49,1,21,173.8,9,2,4,126,1,Responded,1
10,68,Other,169.59,9803.57,17,34,481.18,6,1,2,171,1,Unsubscribed,0
11,54,Male,138.9,4283.84,15,33,96.55,9,1,2,92,1,Responded,0
12,41,Female,47.43,3333.69,4,10,212.58,0,0,2,213,0,Responded,1
13,24,Other,199.29,8234.55,1,60,160.58,2,1,5,276,0,Ignored,0
14,42,Female,38.04,5524.28,12,4,259.81,5,4,2,212,0,Ignored,1
15,42,Female,176.08,6855.03,17,64,222.85,6,0,1,125,0,Ignored,1
16,30,Male,72.97,8076.45,9,63,466.61,5,0,3,304,0,Unsubscribed,0
17,19,Male,98.36,6747.13,10,9,414.8,7,3,2,274,1,Responded,1
18,56,Female,163.18,4281.83,3,29,294.39,7,0,3,197,1,Unsubscribed,0
19,57,Male,141.95,1335.48,15,14,173.58,7,3,4,4,0,Responded,0
20,41,Other,188.82,5844.46,11,88,378.05,8,4,5,57,1,Unsubscribed,1
21,64,Other,131.81,8984.59,5,72,298.9,1,1,2,323,1,Responded,1
22,42,Female,37.61,4247.04,10,13,89.61,0,4,1,199,0,Responded,0
23,35,Female,179.18,9116.18,14,3,162.9,8,0,2,193,1,Responded,1
24,55,Other,158.45,5084.93,12,78,288.48,2,1,2,323,0,Unsubscribed,1
25,43,Other,148.14,6246.33,9,24,352.98,7,1,4,119,1,Unsubscribed,1
26,31,Female,29.67,8346.59,6,60,167.05,5,2,1,35,1,Unsubscribed,0
27,26,Other,91.32,5689.51,9,74,456.01,2,4,2,352,1,Unsubscribed,1
28,27,Male,50.14,1000.6,3,80,210.02,8,3,1,317,0,Unsubscribed,0
29,38,Male,167.94,9811.7,13,12,83.09,9,4,5,128,0,Ignored,1
30,69,Female,146.1,2533.91,7,10,114.05,6,4,1,31,0,Unsubscribed,0
31,34,Male,178.95,7134,17,63,107.41,7,1,4,274,0,Ignored,1
32,69,Female,193.98,5100.62,18,66,124.56,5,4,1,325,1,Responded,1
33,23,Male,159.45,4839.85,4,91,198,1,4,1,193,0,Ignored,1
34,33,Male,198.96,2515.01,5,12,237.82,5,4,5,253,1,Unsubscribed,1
35,65,Female,130.66,7249.29,11,96,275.72,4,2,5,196,0,Responded,1
36,18,Other,26.68,1216.6,18,49,469.63,2,1,3,188,0,Unsubscribed,1
37,36,Female,22.57,9905.49,19,59,289.28,2,3,1,102,0,Responded,1
38,53,Female,81.58,8469.2,5,76,98.03,2,0,2,216,1,Ignored,0
39,42,Other,168.22,5391.64,16,2,233.12,6,1,5,260,1,Unsubscribed,0
40,67,Male,175.9,4303.07,18,73,92.72,1,2,5,360,1,Responded,0
41,69,Female,192.95,2936,14,26,456.43,3,3,4,263,1,Unsubscribed,0
42,47,Female,31.72,5065.76,17,31,92.5,9,0,1,202,1,Responded,1
43,37,Female,28.02,8806.23,9,34,309.17,6,1,1,273,0,Responded,0
44,37,Male,184.39,2822.56,14,88,293.2,7,0,1,121,0,Ignored,1
45,32,Male,74.91,5055.32,12,21,315.34,8,2,4,276,0,Unsubscribed,1
46,57,Other,120.44,2422.04,3,50,38.72,3,4,2,84,0,Ignored,1
47,50,Female,196.84,3437.78,18,9,151.77,1,0,2,277,1,Responded,0
48,19,Other,92.08,1983.58,7,65,183.3,8,1,2,234,0,Responded,0
49,27,Other,139.86,9906.34,3,35,462.35,3,2,3,322,1,Responded,1
50,50,Female,92.16,5757.82,12,31,308.21,7,2,4,287,0,Unsubscribed,1
51,49,Female,158.28,7354.87,15,85,405.83,5,2,4,352,1,Responded,0
52,28,Other,114.99,1072.67,9,38,253.05,4,4,3,168,0,Ignored,1
53,41,Male,62.75,3724.56,18,23,204.68,6,4,1,86,1,Ignored,0
54,53,Other,68.84,8937.13,8,62,246.96,4,1,2,110,0,Unsubscribed,1
55,29,Male,66.45,935.94,10,43,395.71,3,2,5,37,0,Responded,0
56,68,Male,115.82,1738.28,12,49,54.59,5,3,2,130,1,Responded,0
57,46,Other,146.57,6291.63,5,87,477.3,7,2,4,4,1,Responded,1
58,52,Female,190.87,6265.61,11,21,305.74,2,1,3,171,1,Ignored,0
59,18,Other,144.94,8398.45,3,44,101.25,8,2,3,21,0,Unsubscribed,0
60,18,Other,160.61,9361.38,8,8,31.44,5,2,4,108,0,Ignored,1
61,54,Male,50.41,1505.67,8,66,72.76,7,3,4,86,1,Responded,1
62,23,Other,87.33,2667.8,1,46,62.48,3,1,3,209,1,Unsubscribed,0
63,56,Female,94.48,4331.87,5,31,207.3,9,2,4,251,0,Ignored,0
64,58,Other,143.55,108.94,11,13,349.08,0,4,2,65,1,Responded,0
65,35,Other,73.26,791.16,9,70,132.59,2,0,3,137,1,Unsubscribed,0
66,33,Male,74.59,2342.26,13,57,198.67,8,3,3,105,1,Ignored,0
67,22,Female,84.06,4862.91,7,22,286.46,5,3,5,261,1,Responded,1
68,59,Female,165.85,2590.08,3,70,408.6,1,1,2,4,0,Unsubscribed,1
69,60,Male,123.97,8779.15,12,17,307.76,6,4,2,323,0,Ignored,1
70,49,Female,33.55,3310.3,13,44,100.75,8,4,1,259,0,Responded,0
